policy,negative_return,survival_probability
do_nothing,-0.0,1.0
do_nothing,-0.0,0.99
do_nothing,-0.0,0.98
do_nothing,-0.0,0.97
do_nothing,-0.0,0.96
do_nothing,-0.0,0.95
do_nothing,-0.0,0.94
do_nothing,-0.0,0.9299999999999999
do_nothing,-0.0,0.92
do_nothing,-0.0,0.91
do_nothing,-0.0,0.9
do_nothing,-0.0,0.89
do_nothing,-0.0,0.88
do_nothing,-0.0,0.87
do_nothing,-0.0,0.86
do_nothing,-0.0,0.85
do_nothing,-0.0,0.84
do_nothing,-0.0,0.83
do_nothing,-0.0,0.8200000000000001
do_nothing,-0.0,0.81
do_nothing,-0.0,0.8
do_nothing,-0.0,0.79
do_nothing,-0.0,0.78
do_nothing,100.0,0.77
do_nothing,100.0,0.76
do_nothing,100.0,0.75
do_nothing,100.0,0.74
do_nothing,100.0,0.73
do_nothing,100.0,0.72
do_nothing,100.0,0.71
do_nothing,100.0,0.7
do_nothing,100.0,0.69
do_nothing,100.0,0.6799999999999999
do_nothing,100.0,0.6699999999999999
do_nothing,100.0,0.6599999999999999
do_nothing,101.01964855465182,0.65
do_nothing,101.1046691347357,0.64
do_nothing,101.12822125828782,0.63
do_nothing,101.98013266932448,0.62
do_nothing,101.98013266932448,0.61
do_nothing,101.98013266932448,0.6
do_nothing,101.98013266932448,0.5900000000000001
do_nothing,101.98013266932448,0.5800000000000001
do_nothing,101.98013266932448,0.5700000000000001
do_nothing,101.98013266932448,0.56
do_nothing,102.95544664514918,0.55
do_nothing,102.95544664514918,0.54
do_nothing,102.95544664514918,0.53
do_nothing,102.95544664514918,0.52
do_nothing,102.95544664514918,0.51
do_nothing,102.95544664514918,0.5
do_nothing,102.95544664514918,0.49
do_nothing,102.95544664514918,0.48
do_nothing,102.95544664514918,0.47
do_nothing,102.95544664514918,0.45999999999999996
do_nothing,102.95544664514918,0.44999999999999996
do_nothing,102.95544664514918,0.43999999999999995
do_nothing,102.95544664514918,0.43000000000000005
do_nothing,103.03112232082486,0.42000000000000004
do_nothing,103.08865127835382,0.41000000000000003
do_nothing,103.08865127835382,0.4
do_nothing,103.92105608476768,0.39
do_nothing,103.92105608476768,0.38
do_nothing,103.92105608476768,0.37
do_nothing,103.92105608476768,0.36
do_nothing,103.9345695982812,0.35
do_nothing,103.95039971411131,0.33999999999999997
do_nothing,103.95435961382503,0.32999999999999996
do_nothing,103.96108154246336,0.31999999999999995
do_nothing,104.8770575499286,0.31000000000000005
do_nothing,104.8770575499286,0.30000000000000004
do_nothing,104.8770575499286,0.29000000000000004
do_nothing,104.8770575499286,0.28
do_nothing,104.88890095186123,0.27
do_nothing,104.89057106344211,0.26
do_nothing,104.95046327023238,0.25
do_nothing,104.99095716382821,0.24
do_nothing,105.0601157798849,0.22999999999999998
do_nothing,105.82354664157512,0.21999999999999997
do_nothing,105.87046353340943,0.20999999999999996
do_nothing,105.9295862233644,0.19999999999999996
do_nothing,105.93744625547474,0.18999999999999995
do_nothing,105.97016591949085,0.18000000000000005
do_nothing,105.97219529022378,0.17000000000000004
do_nothing,106.8230128641651,0.16000000000000003
do_nothing,106.91470226760568,0.15000000000000002
do_nothing,107.1077881870779,0.14
do_nothing,107.19655554945895,0.13
do_nothing,107.80226497523604,0.12
do_nothing,107.83701400998507,0.10999999999999999
do_nothing,107.86142040951546,0.09999999999999998
do_nothing,107.88858333615548,0.08999999999999997
do_nothing,107.97876145155887,0.07999999999999996
do_nothing,108.85194185916215,0.06999999999999995
do_nothing,108.86142614027987,0.06000000000000005
do_nothing,109.0990461062664,0.050000000000000044
do_nothing,109.9449801382734,0.040000000000000036
do_nothing,110.9638648260277,0.030000000000000027
do_nothing,111.97701663969023,0.020000000000000018
do_nothing,112.84310901244667,0.010000000000000009
paper_proposed_policy,0.1,1.0
paper_proposed_policy,0.1,0.99
paper_proposed_policy,0.1,0.98
paper_proposed_policy,0.1,0.97
paper_proposed_policy,0.1,0.96
paper_proposed_policy,0.1,0.95
paper_proposed_policy,0.1,0.94
